Number Label Degrees_Longitude Degrees_Latitude
0	ArrayCentre	116.764448	-26.824722
1	C1	116.765540	-26.825982
2	C2	116.763920	-26.824005
3	C3	116.765123	-26.825198
4	C4	116.763271	-26.825163
5	C5	116.764736	-26.824638
6	C6	116.764260	-26.823259
7	C7	116.764282	-26.824170
8	C8	116.764380	-26.825063
9	C9	116.765434	-26.824195
10	C10	116.763121	-26.824294
11	C11	116.763575	-26.824282
12	C12	116.765881	-26.823621
13	C13	116.764436	-26.825553
14	C14	116.764777	-26.825336
15	C15	116.764054	-26.824599
16	C16	116.762612	-26.824688
17	C17	116.764803	-26.823996
18	C18	116.765835	-26.824145
19	C19	116.764029	-26.825128
20	C20	116.764909	-26.824916
21	C21	116.765920	-26.824588
22	C22	116.766163	-26.825167
23	C23	116.765163	-26.825597
24	C24	116.764008	-26.823560
25	C25	116.765403	-26.823518
26	C26	116.763623	-26.823333
27	C27	116.764544	-26.823677
28	C28	116.764706	-26.826175
29	C29	116.763986	-26.825681
30	C30	116.765072	-26.823718
31	C31	116.765438	-26.825393
32	C32	116.765086	-26.823204
33	C33	116.763858	-26.826071
34	C34	116.766233	-26.824167
35	C35	116.763683	-26.825313
36	C36	116.763140	-26.825679
37	C37	116.765160	-26.824661
38	C38	116.763353	-26.824741
39	C39	116.765105	-26.826204
40	C40	116.762625	-26.824234
41	C41	116.763690	-26.824586
42	C42	116.766328	-26.824491
43	C43	116.762593	-26.825245
44	C44	116.764967	-26.824382
45	C45	116.763837	-26.826403
46	C46	116.762866	-26.823866
47	C47	116.765900	-26.825755
48	C48	116.762839	-26.824945
49	C49	116.764566	-26.822982
50	C50	116.766217	-26.825574
51	C51	116.764773	-26.823419
52	C52	116.764247	-26.825970
53	C53	116.763345	-26.823825
54	C54	116.765510	-26.824513
55	C55	116.766446	-26.824858
56	C56	116.762946	-26.825413
57	C57	116.764842	-26.825778
58	C58	116.763540	-26.825826
59	C59	116.764418	-26.824482
60	C60	116.765689	-26.825048
61	C61	116.763180	-26.826057
62	C62	116.763483	-26.826241
63	C63	116.763684	-26.824960
64	C64	116.763245	-26.823402
65	C65	116.763920	-26.823031
66	C66	116.764366	-26.826452
67	C67	116.762996	-26.824653
68	C68	116.765443	-26.823163
69	C69	116.765570	-26.823825
70	C70	116.764225	-26.823814
71	C71	116.765869	-26.825415
72	C72	116.766160	-26.823819
73	C73	116.764836	-26.826489
74	C74	116.762772	-26.825690
75	C75	116.765345	-26.824941
76	C76	116.766394	-26.826176
77	C77	116.766447	-26.826508
78	C78	116.762560	-26.822602
79	C79	116.765782	-26.826574
80	C80	116.761629	-26.823848
81	C81	116.765246	-26.827343
82	C82	116.763121	-26.826665
83	C83	116.767282	-26.823468
84	C84	116.762800	-26.826446
85	C85	116.766459	-26.823145
86	C86	116.763597	-26.826885
87	C87	116.762141	-26.825465
88	C88	116.764998	-26.826950
89	C89	116.762975	-26.822857
90	C90	116.761533	-26.824223
91	C91	116.762793	-26.826866
92	C92	116.761754	-26.824558
93	C93	116.763250	-26.822173
94	C94	116.767255	-26.825853
95	C95	116.762161	-26.824169
96	C96	116.761874	-26.823277
97	C97	116.765396	-26.822723
98	C98	116.767102	-26.824280
99	C99	116.765637	-26.827039
100	C100	116.765608	-26.826297
101	C101	116.763807	-26.822218
102	C102	116.763419	-26.822763
103	C103	116.766895	-26.825646
104	C104	116.766137	-26.822554
105	C105	116.764019	-26.822635
106	C106	116.762121	-26.822966
107	C107	116.766884	-26.823860
108	C108	116.762267	-26.825054
109	C109	116.765828	-26.822399
110	C110	116.764991	-26.822361
111	C111	116.762623	-26.825985
112	C112	116.764554	-26.826948
113	C113	116.763366	-26.827189
114	C114	116.762245	-26.823411
115	C115	116.761669	-26.825778
116	C116	116.762824	-26.823540
